[2026-05-09 18:00:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:00:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:00:25] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 18:00:57] [INFO] [DepartmentController] Department created: werwer (id=11) | action=create
[2026-05-09 18:01:59] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 18:05:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:05:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:10:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:10:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:15:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:15:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:20:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:20:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:25:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:25:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:30:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:30:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:35:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:35:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:40:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:40:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:45:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:45:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:50:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:50:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 18:55:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 18:55:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:00:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:00:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:05:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:05:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:10:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:10:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:15:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:15:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:17:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:17:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:17:33] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 19:18:21] [INFO] [ProcessModelController] Updated TaskDefinition id=1 for element Event_1w3xlul | action=syncTaskDefinitions
